id,violcount
03_60_1,0
03_61_0,0
03_61_1,0
03_61_2,0.5
03_61_3,0
03_61_4,0
03_61_5,0
03_62_0,0
03_62_1,0
03_63_0,1
03_64_0,0
03_65_0,0
03_65_1,1
03_66_0,1
03_66_1,1
03_67_0,2
03_67_1,0
03_67_2,0.5
03_67_3,0.5
03_67_4,1
03_67_5,0
03_67_6,1.5
03_68_0,0.5
03_69_0,1.5
03_70_0,2
03_71_0,1
03_71_1,0
03_71_2,0
03_71_3,0
03_71_4,0
03_72_0,0
03_72_1,2.5
04_01_0,0
04_01_1,1
04_01_10,1.0
04_01_100,0
04_01_101,4
04_01_102,2
04_01_103,0
04_01_104,3
04_01_105,2
04_01_106,3.5
04_01_107,0
04_01_108,0
04_01_109,0
04_01_11,0
04_01_110,1
04_01_111,0.5
04_01_112,0
04_01_113,1.0
04_01_12,0
04_01_13,0
04_01_14,0
04_01_15,0
04_01_16,0
04_01_17,0
04_01_18,9.5
04_01_19,13.5
04_01_2,6
04_01_20,2.0
04_01_21,5.5
04_01_22,8.0
04_01_23,10.0
04_01_24,3.0
04_01_25,6.0
04_01_26,15.5
04_01_27,5.5
04_01_28,9.5
04_01_29,4.5
04_01_3,0
04_01_30,6.0
04_01_31,12.5
04_01_32,10.0
04_01_33,11.0
04_01_34,1
04_01_35,2.5
04_01_36,4.0
04_01_37,2
04_01_38,4.5
04_01_39,5.0
04_01_4,1
04_01_40,10.0
04_01_41,1.5
04_01_42,2
04_01_43,1.0
04_01_44,3.0
04_01_45,6.0
04_01_46,3.5
04_01_47,0
04_01_48,0
04_01_49,1
04_01_5,0
04_01_50,2
04_01_51,2.0
04_01_52,0
04_01_53,1
04_01_54,2.0
04_01_55,1
04_01_56,1.0
04_01_57,0.5
04_01_58,0
04_01_59,0
04_01_6,1.0
04_01_60,2.5
04_01_61,1.0
04_01_62,4
04_01_63,9.0
04_01_64,0
04_01_65,1.0
04_01_66,0
04_01_67,0
04_01_68,1.5
04_01_69,1.5
04_01_7,1
04_01_70,0.5
04_01_71,8.5
04_01_72,6.0
04_01_73,3.5
04_01_74,5.5
04_01_75,4.5
04_01_76,2.0
04_01_77,0.5
04_01_78,0
04_01_79,0
04_01_8,7.0
04_01_80,1
04_01_81,0
04_01_82,1.5
04_01_83,1
04_01_84,0
04_01_85,3.0
04_01_86,0
04_01_87,0.5
04_01_88,0
04_01_89,1.5
04_01_9,3
04_01_90,1
04_01_91,1
04_01_92,1.5
04_01_93,0.5
04_01_94,11.5
04_01_95,6
04_01_96,1
04_01_97,2
04_01_98,1
04_01_99,0.5
04_02_0,0.5
04_03_0,6
04_03_1,12.0
04_03_10,3.0
04_03_11,11.5
04_03_12,3
04_03_13,10.0
04_03_14,2
04_03_15,5.5
04_03_16,9.0
04_03_17,4
04_03_18,9.0
04_03_19,11.5
04_03_2,10.5
04_03_20,14.0
04_03_21,7.0
04_03_22,7.0
04_03_23,3.5
04_03_24,4.5
04_03_25,11.5
04_03_26,10.5
04_03_27,12.5
04_03_28,11.0
04_03_29,17.0
04_03_3,12.5
04_03_30,16.5
04_03_31,12.5
04_03_32,6.0
04_03_33,8.0
04_03_34,1
04_03_35,0
04_03_36,6.5
04_03_37,7
04_03_38,4.5
04_03_39,3.0
04_03_4,16.5
04_03_40,6.0
04_03_5,3
04_03_6,1.5
04_03_7,2
04_03_8,4.5
04_03_9,4.5
04_04_0,1
04_04_1,6
04_04_10,4.5
04_04_11,2.0
04_04_12,3.5
04_04_13,9.0
04_04_14,2.0
04_04_15,14.5
04_04_16,4
04_04_17,7.5
04_04_18,7.5
04_04_19,7.5
04_04_2,1
04_04_20,2
04_04_21,1.5
04_04_22,4.5
04_04_23,2.5
04_04_24,5.0
04_04_25,0.5
04_04_26,1
04_04_27,4.5
04_04_28,2
04_04_29,1
04_04_3,8
04_04_30,1.0
04_04_31,10.0
04_04_32,6
04_04_33,0
04_04_34,8.0
04_04_4,2.5
04_04_5,2.5
04_04_6,0
04_04_7,7.5
04_04_8,0
04_04_9,2.0
04_05_0,0
04_06_0,0.5
04_07_0,3
04_07_1,3.5
04_08_0,1
04_09_0,0
04_10_0,0
04_11_0,3
04_12_0,0.5
04_13_0,5
04_14_0,0
04_14_1,4.0
04_15_0,0
04_16_0,0
04_16_1,1
04_17_0,1
04_18_0,4
04_19_0,7.5
04_20_0,6
04_21_0,13.5
04_22_0,3.5
04_22_1,11.5
04_22_2,11.0
04_22_3,10.5
04_22_4,11
04_23_0,0
04_24_0,1.5
04_25_0,1
04_26_0,1
04_27_0,0
04_28_0,0
04_29_0,2
04_30_0,1
04_31_0,7.5
04_31_1,20.0
04_31_2,16.0
04_31_3,9.0
04_32_0,1
04_32_1,11.0
04_32_10,13.0
04_32_11,12.0
04_32_12,2.5
04_32_13,7.0
04_32_14,5
04_32_15,2.5
04_32_16,11
04_32_17,2
04_32_18,0
04_32_19,7
04_32_2,0.5
04_32_20,6.0
04_32_3,2
04_32_4,5.5
04_32_5,2.5
04_32_6,2
04_32_7,3
04_32_8,4
04_32_9,1.5
04_33_0,5.0
04_34_0,0
04_35_0,1.5
04_36_0,2
04_37_0,3
04_38_0,3.5
04_39_0,1
04_40_0,2
04_41_0,0
04_42_0,3
04_43_0,0
04_44_0,2
04_45_0,0
04_46_0,7.5
04_46_1,12.0
04_46_2,5.5
04_46_3,5
04_46_4,7
04_46_5,19.0
04_47_0,3.5
04_47_1,4.5
04_47_2,5.0
04_47_3,11.0
04_47_4,5.5
04_47_5,14.0
04_47_6,4.0
04_47_7,1
04_48_0,2.5
04_49_0,1
04_50_0,0
04_50_1,0
04_50_10,5.5
04_50_11,3.5
04_50_12,13.5
04_50_13,4.5
04_50_14,4.0
04_50_15,3
04_50_16,3.0
04_50_17,1.5
04_50_18,0
04_50_19,0
04_50_2,2
04_50_20,7.0
04_50_21,1.5
04_50_22,1
04_50_23,0
04_50_24,1
04_50_25,1.0
04_50_26,1
04_50_27,0
04_50_28,0.5
04_50_29,6.5
04_50_3,1.0
04_50_30,0.5
04_50_31,0
04_50_32,2
04_50_33,0
04_50_34,2.5
04_50_35,9
04_50_36,6.0
04_50_37,1.5
04_50_38,1.5
04_50_39,2.5
04_50_4,5.0
04_50_40,0
04_50_5,2
04_50_6,7.0
04_50_7,3.0
04_50_8,6.0
04_50_9,7
04_51_0,3
04_52_0,1
04_52_1,3.5
04_52_2,0.5
04_52_3,3
04_52_4,2.5
04_53_0,5.5
04_53_1,6.5
04_54_0,1
04_55_0,1
04_56_0,1.5
04_57_0,0.5
04_58_0,0
04_59_0,11.5
05_01_0,9
05_01_1,8.5
05_01_10,0.5
05_01_11,3
05_01_12,5.5
05_01_13,2
05_01_14,3.5
05_01_15,7
05_01_16,2
05_01_17,10.5
05_01_18,14.0
05_01_19,21.5
05_01_2,3.0
05_01_20,22.0
05_01_21,18.0
05_01_22,8.5
05_01_23,12.5
05_01_24,9.0
05_01_25,21.5
05_01_26,21.0
05_01_27,23.5
05_01_28,12.0
05_01_29,23.0
05_01_3,2
05_01_30,18.0
05_01_31,23.0
05_01_32,11.0
05_01_33,13.5
05_01_34,19.0
05_01_35,20.5
05_01_36,9.5
05_01_37,11
05_01_38,18.0
05_01_39,13.0
